locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCJMANHL_00001	CDS	660	cat	2.3.1.28		Chloramphenicol acetyltransferase
GCJMANHL_00002	tRNA	77				tRNA-Ile(gat)
GCJMANHL_00003	tRNA	76				tRNA-Ala(tgc)
GCJMANHL_00004	CDS	372				hypothetical protein
GCJMANHL_00005	tRNA	76				tRNA-Glu(ttc)
GCJMANHL_00006	rRNA	76				5S ribosomal RNA (partial)
GCJMANHL_00007	CDS	372				hypothetical protein
GCJMANHL_00008	tRNA	77				tRNA-Ile(gat)
GCJMANHL_00009	tRNA	76				tRNA-Ala(tgc)
GCJMANHL_00010	rRNA	80				5S ribosomal RNA (partial)
GCJMANHL_00011	CDS	264				IS3 family transposase ISKpn11
GCJMANHL_00012	rRNA	655				16S ribosomal RNA (partial)
GCJMANHL_00013	CDS	2223				hypothetical protein
GCJMANHL_00014	CDS	810				hypothetical protein
GCJMANHL_00015	CDS	375				IS256 family transposase ISSod4
GCJMANHL_00016	CDS	639				hypothetical protein
GCJMANHL_00017	CDS	1680	xynB	3.2.1.37		Beta-xylosidase
GCJMANHL_00018	CDS	1455	uidB		COG2211	Glucuronide carrier protein
GCJMANHL_00019	CDS	1320	xylA_1	5.3.1.5		Xylose isomerase
GCJMANHL_00020	CDS	984				hypothetical protein
GCJMANHL_00021	CDS	246				hypothetical protein
GCJMANHL_00022	CDS	729				hypothetical protein
GCJMANHL_00023	CDS	309	pinR	3.1.22.-	COG1961	Serine recombinase PinR
GCJMANHL_00024	CDS	2988				Tn3 family transposase TnEc1
GCJMANHL_00025	CDS	636				hypothetical protein
GCJMANHL_00026	CDS	837	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
GCJMANHL_00027	CDS	399				hypothetical protein
GCJMANHL_00028	CDS	1110	frmA_1	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
GCJMANHL_00029	CDS	276	frmR_1		COG1937	Transcriptional repressor FrmR
GCJMANHL_00030	CDS	111				hypothetical protein
GCJMANHL_00031	CDS	294	bin3			Putative transposon Tn552 DNA-invertase bin3
GCJMANHL_00032	CDS	351				hypothetical protein
GCJMANHL_00033	CDS	2967				Tn3 family transposase TnAs3
GCJMANHL_00034	CDS	378				hypothetical protein
GCJMANHL_00035	CDS	504			COG1662	IS1 family transposase IS1R
GCJMANHL_00036	CDS	555	yrdA_1		COG0663	Protein YrdA
GCJMANHL_00037	CDS	258				hypothetical protein
GCJMANHL_00038	CDS	819	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
GCJMANHL_00039	CDS	573	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
GCJMANHL_00040	CDS	543	topA_1	5.6.2.1		DNA topoisomerase 1
GCJMANHL_00041	CDS	474	smg			Protein Smg
