locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBPJPPNJ_00001	CDS	546				hypothetical protein
BBPJPPNJ_00002	CDS	261				hypothetical protein
BBPJPPNJ_00003	CDS	162				hypothetical protein
BBPJPPNJ_00004	CDS	2367	tolB_1			Tol-Pal system protein TolB
BBPJPPNJ_00005	CDS	123				hypothetical protein
BBPJPPNJ_00006	CDS	264				hypothetical protein
BBPJPPNJ_00007	CDS	1515	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
BBPJPPNJ_00008	CDS	852	rbgA		COG1161	Ribosome biogenesis GTPase A
BBPJPPNJ_00009	CDS	951				hypothetical protein
BBPJPPNJ_00010	CDS	810				hypothetical protein
BBPJPPNJ_00011	CDS	216				hypothetical protein
BBPJPPNJ_00012	CDS	231				hypothetical protein
BBPJPPNJ_00013	CDS	546				hypothetical protein
BBPJPPNJ_00014	CDS	348				hypothetical protein
BBPJPPNJ_00015	CDS	309				hypothetical protein
BBPJPPNJ_00016	CDS	1590	hcaD	1.18.1.3		3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
BBPJPPNJ_00017	CDS	171				hypothetical protein
BBPJPPNJ_00018	CDS	240				hypothetical protein
BBPJPPNJ_00019	CDS	933	glkA	2.7.1.2		Glucokinase
BBPJPPNJ_00020	CDS	702	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
BBPJPPNJ_00021	CDS	186				hypothetical protein
BBPJPPNJ_00022	CDS	678				hypothetical protein
BBPJPPNJ_00023	CDS	426				hypothetical protein
BBPJPPNJ_00024	CDS	381				hypothetical protein
BBPJPPNJ_00025	CDS	1329				hypothetical protein
BBPJPPNJ_00026	CDS	1755	egtB_1	1.14.99.50		Hercynine oxygenase
BBPJPPNJ_00027	CDS	2865	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
BBPJPPNJ_00028	CDS	930				hypothetical protein
BBPJPPNJ_00029	CDS	303				hypothetical protein
BBPJPPNJ_00030	CDS	666				hypothetical protein
BBPJPPNJ_00031	CDS	1392	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
